7501,91,1044
7431,40,1038
2058,34,659
7749,46,1061
5224,97,912
8189,69,1094
5354,1,920
4623,123,875
1488,54,628
4934,76,894
5830,85,948
7977,121,1075
8692,48,1167
3206,29,723
7810,109,1065
6876,123,1006
4454,78,864
3008,94,714
1816,87,647
5750,53,942
480,6,567
3623,88,779
1324,110,620
7773,46,1062
7307,70,1033
2979,55,710
8073,57,1083
5295,99,917
4762,70,886
1601,105,635
3855,78,817
5528,97,929
3952,99,828
8054,56,1081
3774,108,808
5964,108,955
8521,111,1140
5178,24,909
2334,40,1674
2328,132,1674
3605,54,1776
3962,64,1829
1993,59,1656
8231,40,2098
5542,13,1931
5629,68,1935
2347,82,1674
7157,63,2022
7438,14,2040
5728,123,1943
324,40,1555
4483,67,1868
182,45,1540
2826,8,1704
1777,3,1645
587,3,1576
5526,68,1929
2031,54,1658
6497,73,1985
2352,105,1675
785,54,1591
5533,78,1931
982,39,1602
5844,52,1947
1720,125,1641
713,75,1585
7306,14,2032
8592,14,2149
5706,88,1941
1810,88,1647
3275,46,1730
5643,39,1936
4262,52,1852
8595,105,2150
31,125,1501
4773,46,1886
430,46,1564
5757,105,1943
3939,39,1825
2043,46,1659
3438,46,1749
1243,125,1615
457,52,1566
2341,46,1675
5366,125,1921
7760,125,2060
4737,24,1884
8197,79,3095
5221,80,2912
1284,107,2620
3559,51,2771
2547,18,2692
4523,13,2871
4160,51,2845
3433,128,2747
974,22,2602
934,27,2600
383,56,2559
5031,101,2901
8639,13,3158
796,9,2591
5298,109,2916
4440,18,2870
55,7,2513
2515,32,2685
6136,19,2963
2941,116,2707
5653,13,2938
3770,85,2807
8285,113,3103
5013,84,2900
165,77,2542
7591,72,3048
1722,9,2641
597,7,2578
5319,9,2918
5106,85,2905
6708,130,2997
8613,64,3155
867,109,2596
7231,24,3026
1320,73,2620
24,120,2498
855,39,2595
3990,64,2834
7363,109,3035
3373,19,2739
2884,5,2704
6701,9,2996
178,64,2543
8514,5,3138
806,3,3593
5337,50,3918
7607,89,4049
4775,70,3885
6501,45,3985
8009,7,4078
8390,70,4118
8118,85,4087
1956,49,3654
8057,51,4083
2084,92,3662
204,45,3543
3625,69,3780
8072,109,4087
3547,45,3767
3522,54,3761
2465,92,3684
7179,29,4023
1361,72,3625
359,113,3559
4316,125,3856
6802,70,4001
2613,54,3688
2072,70,3660
8443,130,4126
8247,32,4099
864,46,3600
4125,31,3841
7606,78,4049
6340,8,3975
2038,72,3661
3308,10,3733
8674,31,4163
6697,95,3996
2845,10,3702
8509,5,4137
2258,31,3669
6028,10,3959
7484,8,4042
6777,107,5000
2993,91,4713
7300,89,5031
5571,17,4933
7991,94,5076
2749,46,4697
1632,27,4640
3637,13,4782
5600,26,4941
8752,68,5179
6083,129,4961
807,94,4592
6852,26,5011
